0 0 0
0 1 0
0 2 0
0 3 0
0 4 0
0 5 0
0 6 0
0 7 0
0 8 0
0 9 0
0 10 0
0 11 0
0 12 0
0 13 0
0 14 0
0 15 0
0 16 0
0 17 0
0 18 0
0 19 0
0 20 0
0 21 0
0 22 0
0 23 0
0 24 0
0 25 0
0 26 0
0 27 0
0 28 0
0 29 0
0 30 0
0 31 0
0 32 0
0 33 0
0 34 0
0 35 0
0 36 0
0 37 0
0 38 0
0 39 0
0 40 0
0 41 0
0 42 0
0 43 0
0 44 0
0 45 0
0 46 0
0 47 0
0 48 0
0 49 0
0 50 0
0 51 0
0 52 0
0 53 0
0 54 0
0 55 0
0 56 0
0 57 0
0 58 0
0 59 0
0 60 0
0 61 0
0 62 0
0 63 0
0 64 0
0 65 0
0 66 0
0 67 0
0 68 0
0 69 0
0 70 0
0 71 0
0 72 0
0 73 0
0 74 0
0 75 0
0 76 0
0 77 0
0 78 0
0 79 0
0 80 0
0 81 0
0 82 0
0 83 0
0 84 0
0 85 0
0 86 0
0 87 0
0 88 0
0 89 0
0 90 0
0 91 0
0 92 0
0 93 0
0 94 0
0 95 0
0 96 0
0 97 0
0 98 0
0 99 0
0 100 0

1 0 0
1 1 0
1 2 0
1 3 0
1 4 0
1 5 0
1 6 0
1 7 0
1 8 0
1 9 0
1 10 0
1 11 0
1 12 0
1 13 0
1 14 0
1 15 0
1 16 0
1 17 0
1 18 0
1 19 0
1 20 0
1 21 0
1 22 0
1 23 0
1 24 0
1 25 0
1 26 -0.000836496
1 27 -0.000518376
1 28 -0.00417566
1 29 -0.00293213
1 30 -0.0112645
1 31 -0.00895674
1 32 -0.0221442
1 33 -0.0197924
1 34 -0.0360926
1 35 -0.0357045
1 36 -0.0524426
1 37 -0.0561181
1 38 -0.0708555
1 39 -0.0798517
1 40 -0.0909652
1 41 -0.105231
1 42 -0.111859
1 43 -0.130116
1 44 -0.13184
1 45 -0.152019
1 46 -0.148623
1 47 -0.168416
1 48 -0.159869
1 49 -0.177211
1 50 -0.163833
1 51 -0.177211
1 52 -0.159869
1 53 -0.168416
1 54 -0.148623
1 55 -0.152019
1 56 -0.13184
1 57 -0.130116
1 58 -0.111859
1 59 -0.105231
1 60 -0.0909652
1 61 -0.0798517
1 62 -0.0708555
1 63 -0.0561181
1 64 -0.0524426
1 65 -0.0357045
1 66 -0.0360926
1 67 -0.0197924
1 68 -0.0221442
1 69 -0.00895674
1 70 -0.0112645
1 71 -0.00293213
1 72 -0.00417566
1 73 -0.000518376
1 74 -0.000836496
1 75 0
1 76 0
1 77 0
1 78 0
1 79 0
1 80 0
1 81 0
1 82 0
1 83 0
1 84 0
1 85 0
1 86 0
1 87 0
1 88 0
1 89 0
1 90 0
1 91 0
1 92 0
1 93 0
1 94 0
1 95 0
1 96 0
1 97 0
1 98 0
1 99 0
1 100 0

2 0 0
2 1 0
2 2 0
2 3 0
2 4 0
2 5 0
2 6 0
2 7 0
2 8 0
2 9 0
2 10 0
2 11 0
2 12 0
2 13 0
2 14 0
2 15 0
2 16 0
2 17 0
2 18 0
2 19 0
2 20 0
2 21 0
2 22 0
2 23 0
2 24 0
2 25 -0.00163953
2 26 -0.00105835
2 27 -0.00790117
2 28 -0.00584364
2 29 -0.0207801
2 30 -0.0175611
2 31 -0.0403477
2 32 -0.0385077
2 33 -0.0659467
2 34 -0.069541
2 35 -0.0975152
2 36 -0.110308
2 37 -0.135582
2 38 -0.159461
2 39 -0.180176
2 40 -0.214509
2 41 -0.229643
2 42 -0.271549
2 43 -0.280151
2 44 -0.325311
2 45 -0.326103
2 46 -0.369756
2 47 -0.361297
2 48 -0.399182
2 49 -0.380423
2 50 -0.409488
2 51 -0.380423
2 52 -0.399182
2 53 -0.361297
2 54 -0.369756
2 55 -0.326103
2 56 -0.325311
2 57 -0.280151
2 58 -0.271549
2 59 -0.229643
2 60 -0.214509
2 61 -0.180176
2 62 -0.159461
2 63 -0.135582
2 64 -0.110308
2 65 -0.0975152
2 66 -0.069541
2 67 -0.0659467
2 68 -0.0385077
2 69 -0.0403477
2 70 -0.0175611
2 71 -0.0207801
2 72 -0.00584364
2 73 -0.00790117
2 74 -0.00105835
2 75 -0.00163953
2 76 0
2 77 0
2 78 0
2 79 0
2 80 0
2 81 0
2 82 0
2 83 0
2 84 0
2 85 0
2 86 0
2 87 0
2 88 0
2 89 0
2 90 0
2 91 0
2 92 0
2 93 0
2 94 0
2 95 0
2 96 0
2 97 0
2 98 0
2 99 0
2 100 0

3 0 0
3 1 0
3 2 0
3 3 0
3 4 0
3 5 0
3 6 0
3 7 0
3 8 0
3 9 0
3 10 0
3 11 0
3 12 0
3 13 0
3 14 0
3 15 0
3 16 0
3 17 0
3 18 0
3 19 0
3 20 0
3 21 0
3 22 0
3 23 0
3 24 -0.00302683
3 25 -0.00203203
3 26 -0.0133598
3 27 -0.0105051
3 28 -0.0326234
3 29 -0.0299127
3 30 -0.0602285
3 31 -0.0631194
3 32 -0.0965795
3 33 -0.111602
3 34 -0.144452
3 35 -0.176197
3 36 -0.207429
3 37 -0.256911
3 38 -0.28717
3 39 -0.351785
3 40 -0.381362
3 41 -0.455707
3 42 -0.483089
3 43 -0.560063
3 44 -0.581649
3 45 -0.653616
3 46 -0.664496
3 47 -0.7245
3 48 -0.719846
3 49 -0.762776
3 50 -0.739309
3 51 -0.762776
3 52 -0.719846
3 53 -0.7245
3 54 -0.664496
3 55 -0.653616
3 56 -0.581649
3 57 -0.560063
3 58 -0.483089
3 59 -0.455707
3 60 -0.381362
3 61 -0.351785
3 62 -0.28717
3 63 -0.256911
3 64 -0.207429
3 65 -0.176197
3 66 -0.144452
3 67 -0.111602
3 68 -0.0965795
3 69 -0.0631194
3 70 -0.0602285
3 71 -0.0299127
3 72 -0.0326234
3 73 -0.0105051
3 74 -0.0133598
3 75 -0.00203203
3 76 -0.00302683
3 77 0
3 78 0
3 79 0
3 80 0
3 81 0
3 82 0
3 83 0
3 84 0
3 85 0
3 86 0
3 87 0
3 88 0
3 89 0
3 90 0
3 91 0
3 92 0
3 93 0
3 94 0
3 95 0
3 96 0
3 97 0
3 98 0
3 99 0
3 100 0

4 0 0
4 1 0
4 2 0
4 3 0
4 4 0
4 5 0
4 6 0
4 7 0
4 8 0
4 9 0
4 10 0
4 11 0
4 12 0
4 13 0
4 14 0
4 15 0
4 16 0
4 17 0
4 18 0
4 19 0
4 20 0
4 21 0
4 22 0
4 23 -0.00526892
4 24 -0.00367329
4 25 -0.0210655
4 26 -0.0176514
4 27 -0.0472661
4 28 -0.0473054
4 29 -0.0827075
4 30 -0.0956753
4 31 -0.131147
4 32 -0.165615
4 33 -0.201154
4 34 -0.261083
4 35 -0.30145
4 36 -0.385712
4 37 -0.43618
4 38 -0.539779
4 39 -0.602256
4 40 -0.717515
4 41 -0.78878
4 42 -0.906043
4 43 -0.978115
4 44 -1.08647
4 45 -1.14844
4 46 -1.23693
4 47 -1.27753
4 48 -1.337
4 49 -1.34721
4 50 -1.37211
4 51 -1.34721
4 52 -1.337
4 53 -1.27753
4 54 -1.23693
4 55 -1.14844
4 56 -1.08647
4 57 -0.978115
4 58 -0.906043
4 59 -0.78878
4 60 -0.717515
4 61 -0.602256
4 62 -0.539779
4 63 -0.43618
4 64 -0.385712
4 65 -0.30145
4 66 -0.261083
4 67 -0.201154
4 68 -0.165615
4 69 -0.131147
4 70 -0.0956753
