0 0 0
0 1 0
0 2 0
0 3 0
0 4 0
0 5 0
0 6 0
0 7 0
0 8 0
0 9 0
0 10 0
0 11 0
0 12 0
0 13 0
0 14 0
0 15 0
0 16 0
0 17 0
0 18 0
0 19 0
0 20 0
0 21 0
0 22 0
0 23 0
0 24 0
0 25 0
0 26 0
0 27 0
0 28 0
0 29 0
0 30 0
0 31 0
0 32 0
0 33 0
0 34 0
0 35 0
0 36 0
0 37 0
0 38 0
0 39 0
0 40 0
0 41 0
0 42 0
0 43 0
0 44 0
0 45 0
0 46 0
0 47 0
0 48 0
0 49 0
0 50 0
0 51 0
0 52 0
0 53 0
0 54 0
0 55 0
0 56 0
0 57 0
0 58 0
0 59 0
0 60 0
0 61 0
0 62 0
0 63 0
0 64 0
0 65 0
0 66 0
0 67 0
0 68 0
0 69 0
0 70 0
0 71 0
0 72 0
0 73 0
0 74 0
0 75 0
0 76 0
0 77 0
0 78 0
0 79 0
0 80 0
0 81 0
0 82 0
0 83 0
0 84 0
0 85 0
0 86 0
0 87 0
0 88 0
0 89 0
0 90 0
0 91 0
0 92 0
0 93 0
0 94 0
0 95 0
0 96 0
0 97 0
0 98 0
0 99 0
0 100 0

1 0 0
1 1 0
1 2 0
1 3 0
1 4 0
1 5 0
1 6 0
1 7 0
1 8 0
1 9 0
1 10 0
1 11 0
1 12 0
1 13 0
1 14 0
1 15 0
1 16 0
1 17 0
1 18 0
1 19 0
1 20 0
1 21 0
1 22 0
1 23 0
1 24 0
1 25 0
1 26 0
1 27 -0.000551127
1 28 -0.000330437
1 29 -0.00286674
1 30 -0.00192539
1 31 -0.00804658
1 32 -0.00604203
1 33 -0.0163834
1 34 -0.0136566
1 35 -0.0274262
1 36 -0.0250516
1 37 -0.0404562
1 38 -0.0397631
1 39 -0.0547824
1 40 -0.0567227
1 41 -0.0696801
1 42 -0.07442
1 43 -0.0841837
1 44 -0.0910535
1 45 -0.097001
1 46 -0.104729
1 47 -0.106667
1 48 -0.11374
1 49 -0.111883
1 50 -0.116888
1 51 -0.111883
1 52 -0.11374
1 53 -0.106667
1 54 -0.104729
1 55 -0.097001
1 56 -0.0910535
1 57 -0.0841837
1 58 -0.07442
1 59 -0.0696801
1 60 -0.0567227
1 61 -0.0547824
1 62 -0.0397631
1 63 -0.0404562
1 64 -0.0250516
1 65 -0.0274262
1 66 -0.0136566
1 67 -0.0163834
1 68 -0.00604203
1 69 -0.00804658
1 70 -0.00192539
1 71 -0.00286674
1 72 -0.000330437
1 73 -0.000551127
1 74 0
1 75 0
1 76 0
1 77 0
1 78 0
1 79 0
1 80 0
1 81 0
1 82 0
1 83 0
1 84 0
1 85 0
1 86 0
1 87 0
1 88 0
1 89 0
1 90 0
1 91 0
1 92 0
1 93 0
1 94 0
1 95 0
1 96 0
1 97 0
1 98 0
1 99 0
1 100 0

2 0 0
2 1 0
2 2 0
2 3 0
2 4 0
2 5 0
2 6 0
2 7 0
2 8 0
2 9 0
2 10 0
2 11 0
2 12 0
2 13 0
2 14 0
2 15 0
2 16 0
2 17 0
2 18 0
2 19 0
2 20 0
2 21 0
2 22 0
2 23 0
2 24 0
2 25 0
2 26 -0.00112522
2 27 -0.000703975
2 28 -0.00565459
2 29 -0.00400665
2 30 -0.015462
2 31 -0.0123666
2 32 -0.030998
2 33 -0.027702
2 34 -0.0517311
2 35 -0.0507547
2 36 -0.0770266
2 37 -0.0810518
2 38 -0.106392
2 39 -0.11706
2 40 -0.139006
2 41 -0.156262
2 42 -0.173097
2 43 -0.195215
2 44 -0.205706
2 45 -0.229812
2 46 -0.233046
2 47 -0.255859
2 48 -0.251335
2 49 -0.269873
2 50 -0.257775
2 51 -0.269873
2 52 -0.251335
2 53 -0.255859
2 54 -0.233046
2 55 -0.229812
2 56 -0.205706
2 57 -0.195215
2 58 -0.173097
2 59 -0.156262
2 60 -0.139006
2 61 -0.11706
2 62 -0.106392
2 63 -0.0810518
2 64 -0.0770266
2 65 -0.0507547
2 66 -0.0517311
2 67 -0.027702
2 68 -0.030998
2 69 -0.0123666
2 70 -0.015462
2 71 -0.00400665
2 72 -0.00565459
2 73 -0.000703975
2 74 -0.00112522
2 75 0
2 76 0
2 77 0
2 78 0
2 79 0
2 80 0
2 81 0
2 82 0
2 83 0
2 84 0
2 85 0
2 86 0
2 87 0
2 88 0
2 89 0
2 90 0
2 91 0
2 92 0
2 93 0
2 94 0
2 95 0
2 96 0
2 97 0
2 98 0
2 99 0
2 100 0

3 0 0
3 1 0
3 2 0
3 3 0
3 4 0
3 5 0
3 6 0
3 7 0
3 8 0
3 9 0
3 10 0
3 11 0
3 12 0
3 13 0
3 14 0
3 15 0
3 16 0
3 17 0
3 18 0
3 19 0
3 20 0
3 21 0
3 22 0
3 23 0
3 24 0
3 25 -0.00216042
3 26 -0.00140795
3 27 -0.0100037
3 28 -0.00753627
3 29 -0.0254939
3 30 -0.0221045
3 31 -0.0485398
3 32 -0.0476752
3 33 -0.0788629
3 34 -0.0853399
3 35 -0.117294
3 36 -0.135062
3 37 -0.165174
3 38 -0.195697
3 39 -0.222681
3 40 -0.264511
3 41 -0.287414
3 42 -0.336679
3 43 -0.353978
3 44 -0.405339
3 45 -0.414715
3 46 -0.462476
3 47 -0.461277
3 48 -0.500459
3 49 -0.486587
3 50 -0.513788
3 51 -0.486587
3 52 -0.500459
3 53 -0.461277
3 54 -0.462476
3 55 -0.414715
3 56 -0.405339
3 57 -0.353978
3 58 -0.336679
3 59 -0.287414
3 60 -0.264511
3 61 -0.222681
3 62 -0.195697
3 63 -0.165174
3 64 -0.135062
3 65 -0.117294
3 66 -0.0853399
3 67 -0.0788629
3 68 -0.0476752
3 69 -0.0485398
3 70 -0.0221045
3 71 -0.0254939
3 72 -0.00753627
3 73 -0.0100037
3 74 -0.00140795
3 75 -0.00216042
3 76 0
3 77 0
3 78 0
3 79 0
3 80 0
3 81 0
3 82 0
3 83 0
3 84 0
3 85 0
3 86 0
3 87 0
3 88 0
3 89 0
3 90 0
3 91 0
3 92 0
3 93 0
3 94 0
3 95 0
3 96 0
3 97 0
3 98 0
3 99 0
3 100 0

4 0 0
4 1 0
4 2 0
4 3 0
4 4 0
4 5 0
4 6 0
4 7 0
4 8 0
4 9 0
4 10 0
4 11 0
4 12 0
4 13 0
4 14 0
4 15 0
4 16 0
4 17 0
4 18 0
4 19 0
4 20 0
4 21 0
4 22 0
4 23 0
4 24 -0.00390537
4 25 -0.00264695
4 26 -0.016485
4 27 -0.0132271
4 28 -0.0387472
4 29 -0.0366117
4 30 -0.0697031
4 31 -0.0756639
4 32 -0.110693
4 33 -0.132123
4 34 -0.16634
4 35 -0.207569
4 36 -0.241814
4 37 -0.302811
4 38 -0.339264
4 39 -0.416103
4 40 -0.455522
4 41 -0.541495
4 42 -0.58164
4 43 -0.668406
4 44 -0.704054
4 45 -0.782805
4 46 -0.807026
4 47 -0.869791
4 48 -0.875842
4 49 -0.916854
4 50 -0.900043
4 51 -0.916854
4 52 -0.875842
4 53 -0.869791
4 54 -0.807026
4 55 -0.782805
4 56 -0.704054
4 57 -0.668406
4 58 -0.58164
4 59 -0.541495
4 60 -0.455522
4 61 -0.416103
4 62 -0.339264
4 63 -0.302811
4 64 -0.241814
4 65 -0.207569
4 66 -0.16634
4 67 -0.132123
4 68 -0.110693
4 69 -0.0756639
4 70 -0.0697031
4 71 -0.0366117
4 72 -0.0387472
